代码,total_weight,total_weight_pct,appear_in,159338成分股,159691成分股,159801成分股,159841成分股,159850成分股,510050成分股,510300成分股,512690成分股,512760成分股,513600成分股,513980成分股,515790成分股
002138.SZ,8.745424878801167e-05,0.0087,1,0.00104945098545614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688009.SH,8.613692226155917e-05,0.0086,2,0.000489294809346321,0.0,0.0,0.0,0.0,0.0,0.000544348257792389,0.0,0.0,0.0,0.0,0.0
000708.SZ,8.589531625623575e-05,0.0086,2,0.000386223730417593,0.0,0.0,0.0,0.0,0.0,0.000644520064657236,0.0,0.0,0.0,0.0,0.0
002756.SZ,8.559975020880166e-05,0.0086,1,0.00102719700250562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600879.SH,8.550214502042249e-05,0.0086,1,0.00102602574024507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601607.SH,8.276386639611725e-05,0.0083,2,0.000541415979940962,0.0,0.0,0.0,0.0,0.0,0.00045175041681244497,0.0,0.0,0.0,0.0,0.0
002202.SZ,8.242758158646891e-05,0.0082,1,0.000989130979037627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1044.HK,8.167648209556191e-05,0.0082,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000980117785146743,0.0,0.0
605589.SH,8.152473359395867e-05,0.0082,1,0.000978296803127504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002065.SZ,8.103670765206134e-05,0.0081,1,0.0009724404918247361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600875.SH,8.091113017904525e-05,0.0081,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0009709335621485431,0.0,0.0,0.0,0.0,0.0
300383.SZ,8.057308300725882e-05,0.0081,1,0.000966876996087106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000876.SZ,7.981168351833357e-05,0.008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0009577402022200029,0.0,0.0,0.0,0.0,0.0
600549.SH,7.9792241500223e-05,0.008,1,0.000957506898002676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002812.SZ,7.954822852927424e-05,0.008,1,0.000954578742351291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002624.SZ,7.945062334089483e-05,0.0079,1,0.000953407480090738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2556.HK,7.938377757870116e-05,0.0079,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009526053309444139,0.0
002444.SZ,7.862097923966924e-05,0.0079,1,0.0009434517508760309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0101.HK,7.840193695546726e-05,0.0078,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009408232434656071,0.0,0.0
300054.SZ,7.837696626872058e-05,0.0078,1,0.000940523595224647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300699.SZ,7.742531568202067e-05,0.0077,1,0.000929103788184248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600352.SH,7.657127028370024e-05,0.0077,1,0.000918855243404403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600027.SH,7.653370365954482e-05,0.0077,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0009184044439145379,0.0,0.0,0.0,0.0,0.0
603899.SH,7.5302402834767e-05,0.0075,1,0.000903628834017204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600256.SH,7.510719245800808e-05,0.0075,1,0.000901286309496097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000878.SZ,7.432635095097224e-05,0.0074,1,0.000891916211411667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002078.SZ,7.403353538583383e-05,0.0074,1,0.000888402424630006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002152.SZ,7.3057483502039e-05,0.0073,1,0.000876689802024468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002410.SZ,7.276466793690057e-05,0.0073,1,0.0008731760152428069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600023.SH,7.254311948362816e-05,0.0073,1,0.0,0.0,0.0,0.0,0.0,0.0,0.000870517433803538,0.0,0.0,0.0,0.0,0.0
600511.SH,7.2496253668857e-05,0.0072,1,0.0008699550440262841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603613.SH,7.220343810371857e-05,0.0072,1,0.000866441257244623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
